command,lang_code,status
af,afr,0
ak,aka,0
am,amh,0
an,arg,0
ar,ara,1
as,asm,0
ay,aym,0
az,aze,0
ba,bak,0
be,bel,0
bg,bul,1
bi,bis,0
bn,ben,0
br,bre,0
bs,bos,0
ca,cat,0
co,cos,0
cs,cs,1
cv,chv,0
cy,wel,0
da,dan,1
de,de,1
dv,div,0
el,el,1
en,en,1
eo,epo,0
es,spa,1
et,est,1
eu,baq,0
fa,per,0
ff,ful,0
fi,fin,1
fo,fao,0
fr,fra,1
fy,fry,0
ga,gle,0
gl,glg,0
gn,grn,0
gu,guj,0
gv,glv,0
ha,hau,0
he,heb,0
hi,hi,0
hr,hrv,0
ht,ht,0
hu,hu,1
hy,arm,0
ia,ina,0
id,id,0
ig,ibo,0
io,ido,0
is,ice,0
it,it,1
iu,iku,0
ja,jp,1
jv,jav,0
ka,geo,0
kg,kon,0
kk,kaz,0
kl,kal,0
km,hkm,0
kn,kan,0
ko,kor,1
kr,kau,0
ks,kas,0
ku,kur,0
kw,cor,0
ky,kir,0
la,lat,0
lb,ltz,0
lg,lug,0
ln,lin,0
lo,lao,0
lt,lit,0
lv,lav,0
mg,mg,0
mh,mah,0
mi,mao,0
mk,mac,0
ml,mal,0
mr,mar,0
ms,may,0
mt,mlt,0
my,bur,0
ne,nep,0
nl,nl,1
no,nor,0
ny,nya,0
oc,oci,0
oj,oji,0
om,orm,0
or,ori,0
os,oss,0
pa,pan,0
pl,pl,1
ps,pus,0
pt,pt,1
qu,que,0
rm,roh,0
ro,rom,1
ru,ru,1
rw,kin,0
sa,san,0
sc,srd,0
sd,snd,0
se,sme,0
si,sin,0
sk,sk,0
sl,slo,1
sm,sm,0
sn,sna,0
so,som,0
sq,alb,0
sr,srp,0
st,sot,0
sv,swe,1
sw,swa,0
ta,tam,0
te,tel,0
tg,tgk,0
th,th,1
ti,tir,0
tk,tuk,0
tl,tgl,0
tr,tr,0
ts,tso,0
tt,tat,0
tw,twi,0
uk,ukr,0
ur,urd,0
uz,uzb,0
ve,ven,0
vi,vie,1
wa,wln,0
wo,wol,0
xh,xho,0
yi,yid,0
yo,yor,0
zh,cht,1
zu,zul,0
ace,ach,0
ang,eno,0
arq,arq,0
ast,ast,0
bal,bal,0
bem,bem,0
bho,bho,0
byn,bli,0
ceb,ceb,0
chr,chr,0
cnh,hak,0
cnr,mot,0
crh,cri,0
csb,kah,0
fur,fri,0
grc,gra,0
haw,haw,0
hil,hil,0
inh,ing,0
jbo,loj,0
kab,kab,0
kok,kok,0
lzh,wyw,1
mai,mai,0
mus,cre,0
nap,nea,0
nqo,nqo,0
nso,ped,0
pap,pap,0
sco,sco,0
shn,sha,0
szl,sil,0
tet,tet,0
tlh,kli,0
zza,zaz,0
